classi,doc_id,cohesionSyn_m,hauteurPh_m,longPh_m,ageManulex_m,longMotOrtho_m,maas_lemma_i,cycle
N,se2gp-5,0.330874440007301,6.20924738440769,26.4262571717854,6.55696202531646,6.47514619883041,6.34525556536115,premier
N,se2gp-6,0.390727185981032,5.57035102988106,18.1012474615608,6.6380027739251,6.65389527458493,6.51287157886997,premier
N,se2gp-7,0.354568488549283,6.5826359832636,28.2866108786611,6.68503937007874,6.52434456928839,5.40890716277701,premier
N,se2gp-9,0.420625683926681,5.31507136859782,20.169395465995,6.42520612485277,6.36165327210103,6.57907005142003,premier
N,se2gp10,0.471435901621975,4.65962230215827,14.5400179856115,6.35696821515892,6.03512880562061,5.85999350438509,premier
N,se2mg03,0.421158018843028,5.518573551263,15.5482912332838,6.4703196347032,6.64444444444444,5.24734900021888,premier
X,se2mg04,0.376766223727813,6.37007874015748,25.001968503937,6.29496402877698,5.53741496598639,4.81143703149212,premier
N,se2mg06,0.30425346241117,6.33302919708029,22.4388686131387,6.4,6.07288629737609,5.67536287848071,premier
X,se2mg08,0.338338603827096,5.58611111111111,20.0916666666667,6.14018691588785,5.52252252252252,4.58393558230447,premier
N,se2mj-2,0.447755401908556,4.88325409403064,14.8721605916535,6.4,6.05298013245033,5.92898907612853,premier
N,se2mj-3b,0.315871251609305,6.83495145631068,28.5291262135922,6.55,5.74242424242424,4.13498109425821,premier
N,se2mj-3c,0.341806335915182,6.87931034482759,26.9195402298851,6.37142857142857,6.02739726027397,4.036164905761,premier
N,se2mj-3d,0.361654721127903,5.85608856088561,22.8081180811808,6.6,6.72413793103448,4.32711599550829,premier
N,se2mj-4,0.398663959063159,5.81825590872046,23.8158109209454,6.5,6.40100250626566,5.82874178646993,premier
N,se2pa15,0.514400856525825,4.08606060606061,10.6690909090909,6.48257372654156,6.35173299101412,6.46504383112254,premier
N,se2pa24,0.415192166775105,5.36577400391901,18.4944480731548,6.53676470588235,6.44495412844037,5.89434494686866,premier
